Image,y735df0,y735df0_URL,y735df01,y735df02,y735df0_URL3,y735df04,y735df0_URL5,y735df06,y735df07,y735df0_URL8,y735df09,y735df0_URL10,y735df011,y735df012,y735df013,y735df014,y735df015
https://bx-branding-gateway.cloud.seek.com.au/50763406-e590-4d55-98a1-fe82db95e5ff.1/serpLogo,IT - GA Support,https://www.jobstreet.co.id/id/Autoline-Jaya-Motor-jobs,PT Autoline Jaya Motor,Ini adalah lowongan kerja Kontrak,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Barat-Jakarta-Raya,Jakarta Barat,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,"Rp 5,500,000 – Rp 7,000,000 per month",https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/networks-systems-administration,Administrasi Jaringan & Sistem,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),BPJS Kesehatan,JAMSOSTEK,,5 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/b11c7306-7f07-446b-8ee8-1b5bcbe501c3.1/serpLogo,IT Infra & Support,https://www.jobstreet.co.id/id/Century-21-jobs,Century 21 Indonesia,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),Competitive salary,Professional development opportunities,"Health, dental, and vision health facilities",6 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/9e2e9923-dd6b-4f8d-b769-62b5e2ef0b94.1/serpLogo,IT Developer Manager,https://www.jobstreet.co.id/id/Temas-jobs,PT. TEMAS TBK,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Utara-Jakarta-Raya,Jakarta Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/management,Manajemen,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),Take part in digitalizing our evergrowing shipping industry,Opportunities to be facilitated in training technical and soft skills alike,Fun and dynamic working environment,11 jam yang lalu
,IT Assistant Manager,,,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Cikarang-Jawa-Barat,Cikarang,,,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,5 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/a8aff368-1bdc-4f51-b8f2-ac884661cba5.1/serpLogo,HARIAN IT PROJECT FREELANCE,https://www.jobstreet.co.id/id/Gamma-Persada-jobs,PT Gamma Persada Sinergi,Ini adalah lowongan kerja Paruh waktu,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Utara-Jakarta-Raya,Jakarta Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/programme-project-management,Manajemen Program & Proyek,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,2 hari yang lalu
,It Programmer,https://www.jobstreet.co.id/id/jobs?advertiserid=62366817,Pt.Wishsuksesdigital,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Utara-Jakarta-Raya,Jakarta Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,Rp 8.000.000 – Rp 10.000.000 per month,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/developers-programmers,Developer/Programmer,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,1 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/2f27ab86-889f-4af6-a540-88170f06ea34.1/serpLogo,Database Administrator,https://www.jobstreet.co.id/id/Logistics-Integration-Solution-Creation-jobs,PT Integrasi Logistik Cipta Solusi,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Utara-Jakarta-Raya,Jakarta Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,"Rp 12,000,000 – Rp 18,000,000 per month",https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/database-development-administration,Pengembangan & Administrasi Database,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,7 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/bfe927cf-278b-4e87-a844-b7e6796412da.1/serpLogo,IT Software Engineer Specialist,https://www.jobstreet.co.id/id/Bussan-Auto-Finance-jobs,PT Bussan Auto Finance (BAF),Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/engineering-software,Teknik – Perangkat Lunak,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,13 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/6ce69d5b-ea6d-497d-ad8e-7f215b18556a.1/serpLogo,IT Manager,https://www.jobstreet.co.id/id/Ingenevo-Indo-Jaya-jobs,PT Ingenevo Indo Jaya,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Batam-Kota-Kepulauan-Riau,Batam Kota,https://www.jobstreet.co.id/id/IT-jobs/in-Kepulauan-Riau,Kepulauan Riau,"Rp 6,666,667 – Rp 10,000,000 per month",https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/networks-systems-administration,Administrasi Jaringan & Sistem,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),Flexible Work Hours,THR,Strategic Location,6 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/13d5469e-0312-42e3-bfa0-d7eb7969f865.1/serpLogo,Technical Support Specialist,https://www.jobstreet.co.id/id/Exabytes-jobs,PT Exabytes Network Indonesia,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),Progressive career tracks,Training Opportunities,Collaborative team environment,4 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/066472d7-9a04-4be8-bd75-148370345c4b.1/serpLogo,IT STAFF (CODE : IT),https://www.jobstreet.co.id/id/Panasonic-jobs,PT Panasonic Gobel Energy Indonesia (PECGI),Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Bekasi-Jawa-Barat,Bekasi,https://www.jobstreet.co.id/id/IT-jobs/in-Jawa-Barat,Jawa Barat,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/engineering-software,Teknik – Perangkat Lunak,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,11 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/bfe927cf-278b-4e87-a844-b7e6796412da.1/serpLogo,IT Enterprise Architect Technology & Innovation Specialist,https://www.jobstreet.co.id/id/Bussan-Auto-Finance-jobs,PT Bussan Auto Finance (BAF),Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/architects,Arsitek,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,1 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/390149bb-a168-4707-b1c3-701629f27e6f.1/serpLogo,IT Support,https://www.jobstreet.co.id/id/Astrindo-Satrya-Kharisma-jobs,PT Astrindo Satrya Kharisma,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/engineering-hardware,Teknik – Perangkat Keras,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,14 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/44359490-253c-45f6-b731-6ea90f363bb7.2/serpLogo,Staff IT Helpdesk,https://www.jobstreet.co.id/id/Paramount-Land-jobs,Paramount Enterprise,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Tangerang-Banten,Tangerang,https://www.jobstreet.co.id/id/IT-jobs/in-Banten,Banten,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,5 jam yang lalu
,IT staff,https://www.jobstreet.co.id/id/jobs?advertiserid=60922100,PT Mitra Raharjatama,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,14 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/5658f7b6-de95-4338-a36a-fa2e007c56ac.2/serpLogo,IT Support Staff,https://www.jobstreet.co.id/id/jobs?advertiserid=62012995,PT Apollo Asset Managament,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,9 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/9c2138f0-055c-4e44-9bef-bf835c39252c.1/serpLogo,Junior IT,https://www.jobstreet.co.id/id/FM-Global-Logistics-jobs,PT. FM Global Logistics,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Utara-Jakarta-Raya,Jakarta Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),"BPJS, Private Insurance","THR, Bonus (depends on company performance)",,2 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/91914890-a9ca-4f50-a3be-76462a7ab64d.1/serpLogo,IT SUPPORT,https://www.jobstreet.co.id/id/Mustika-Citra-Rasa-jobs,PT. Mustika Citra Rasa,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,,"Rp 6,000,000 – Rp 8,000,000 per month",https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),Holland Bakery,IT SUPPORT,Holland Bakery - IT SUPPORT,1 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/79658296-894b-458f-bc6c-91b5f4fa1a39.2/serpLogo,IT System Support Staff,https://www.jobstreet.co.id/id/Sewu-Segar-Primatama-jobs,PT Sewu Segar Primatama (Re.juve),Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Cikupa-Banten,Cikupa,https://www.jobstreet.co.id/id/IT-jobs/in-Banten,Banten,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/networks-systems-administration,Administrasi Jaringan & Sistem,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,9 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/61955236-fdf6-4f5d-aed9-ea84e721c3b0.2/serpLogo,IT Network & Infrastructure Staff,https://www.jobstreet.co.id/id/Darmex-Agro-Group-jobs,PT Dutapalma Nusantara (Darmex Agro Group),Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/networks-systems-administration,Administrasi Jaringan & Sistem,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,13 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/3b7c231e-97f0-4886-9b9a-88d2b8cbafdb.2/serpLogo,IT Support Officer,https://www.jobstreet.co.id/id/Nusantara-Scoring-Technology-jobs,PT Teknologi Skoring Nusantara,Ini adalah lowongan kerja Kontrak,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Pusat-Jakarta-Raya,Jakarta Pusat,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,11 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/78a166a5-2c09-470b-8b91-aae3bcd7e0ca.1/serpLogo,IT Coordinator/Staff,https://www.jobstreet.co.id/id/Karawang-International-Industrial-City-jobs,PT Maligi Permata Industrial Estate (KIIC),Ini adalah lowongan kerja Kasual,https://www.jobstreet.co.id/id/IT-jobs/in-Karawang-Barat-Jawa-Barat,Karawang Barat,https://www.jobstreet.co.id/id/IT-jobs/in-Jawa-Barat,Jawa Barat,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/networks-systems-administration,Administrasi Jaringan & Sistem,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,15 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/c04aac3b-f639-4ef6-99c7-e1e5081403b7.1/serpLogo,Senior IT Developer,https://www.jobstreet.co.id/id/Internusa-Jayaabadi-Sentosa-jobs,PT Internusa Jayaabadi Sentosa,Ini adalah lowongan kerja Kontrak,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Selatan-Jakarta-Raya,Jakarta Selatan,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/developers-programmers,Developer/Programmer,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),IT Development,IT Programming,Information & Technology,1 hari yang lalu
,IT,https://www.jobstreet.co.id/id/jobs?advertiserid=61941078,9 heaven Karaoke & Resto,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Kecamatan-Sidoarjo-Sidoarjo-Jawa-Timur,Sidoarjo,https://www.jobstreet.co.id/id/IT-jobs/in-Jawa-Timur,Jawa Timur,,https://www.jobstreet.co.id/id/IT-jobs-in-engineering/electrical-electronic-engineering,Teknik Elektro/Elektronik,https://www.jobstreet.co.id/id/IT-jobs-in-engineering,(Teknik),,,,18 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/ecb545eb-0c8f-4b3b-81f9-89b2a8047788.1/serpLogo,IT SUPERVISOR,https://www.jobstreet.co.id/id/Multi-Usage-Indonesia-jobs,PT Multi Usage Indonesia,Ini adalah lowongan kerja Kontrak,https://www.jobstreet.co.id/id/IT-jobs/in-Cikarang-Utara-Jawa-Barat,Cikarang Utara,https://www.jobstreet.co.id/id/IT-jobs/in-Jawa-Barat,Jawa Barat,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/team-leaders,Pemimpin Tim,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,1 hari yang lalu
https://bx-branding-gateway.cloud.seek.com.au/2ccee68d-27bb-4039-98e4-7bd60199c72f.1/serpLogo,IT Desktop Analyst,https://www.jobstreet.co.id/id/Teleperformance-jobs,Teleperformance,Ini adalah lowongan kerja Kontrak,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,13 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/ec5f19b1-b4ef-45f7-a391-cfa9a0add0ac.1/serpLogo,IT Engineer,https://www.jobstreet.co.id/id/PT-Aun-Wahana-Jaya-jobs,PT Aun Wahana Jaya,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Timur-Jakarta-Raya,Jakarta Timur,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,"Rp 22,000,000 – Rp 23,000,000 per month",https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/developers-programmers,Developer/Programmer,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,13 jam yang lalu
https://bx-branding-gateway.cloud.seek.com.au/ba31c683-5863-443d-b777-f420758e95e5.1/serpLogo,IT Support,https://www.jobstreet.co.id/id/FIDAC-Technology-Innovation-jobs,PT. Fidac Inovasi Technology,Ini adalah lowongan kerja Full time,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Timur-Jakarta-Raya,Jakarta Timur,https://www.jobstreet.co.id/id/IT-jobs/in-Jakarta-Raya,Jakarta Raya,,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology/help-desk-it-support,Meja Bantuan & Dukungan IT,https://www.jobstreet.co.id/id/IT-jobs-in-information-communication-technology,(Teknologi Informasi & Komunikasi),,,,1 hari yang lalu
